Seed,Ratio Test,K,Accuracy
62,0.3,7,0.6666666666666666
63,0.1,3,0.6875
63,0.1,5,0.6875
63,0.1,7,0.6875
63,0.2,3,0.75
63,0.2,5,0.75
63,0.2,7,0.65625
63,0.3,3,0.7916666666666666
63,0.3,5,0.7291666666666666
63,0.3,7,0.75
64,0.1,3,0.8125
64,0.1,5,0.8125
64,0.1,7,0.75
64,0.2,3,0.75
64,0.2,5,0.78125
64,0.2,7,0.8125
64,0.3,3,0.75
64,0.3,5,0.7708333333333334
64,0.3,7,0.7291666666666666
65,0.1,3,0.5625
65,0.1,5,0.5625
65,0.1,7,0.5625
65,0.2,3,0.6875
65,0.2,5,0.6875
65,0.2,7,0.65625
65,0.3,3,0.6666666666666666
65,0.3,5,0.6666666666666666
65,0.3,7,0.6041666666666666
66,0.1,3,0.75
66,0.1,5,0.75
66,0.1,7,0.75
66,0.2,3,0.65625
66,0.2,5,0.6875
66,0.2,7,0.65625
66,0.3,3,0.5833333333333334
66,0.3,5,0.6041666666666666
66,0.3,7,0.5625
67,0.1,3,0.625
67,0.1,5,0.625
67,0.1,7,0.625
67,0.2,3,0.65625
67,0.2,5,0.75
67,0.2,7,0.6875
67,0.3,3,0.7291666666666666
67,0.3,5,0.7291666666666666
67,0.3,7,0.7291666666666666
68,0.1,3,0.75
68,0.1,5,0.8125
68,0.1,7,0.8125
68,0.2,3,0.71875
68,0.2,5,0.8125
68,0.2,7,0.75
68,0.3,3,0.7083333333333334
68,0.3,5,0.75
68,0.3,7,0.7291666666666666
69,0.1,3,0.6875
69,0.1,5,0.625
69,0.1,7,0.625
69,0.2,3,0.71875
69,0.2,5,0.75
69,0.2,7,0.6875
69,0.3,3,0.6875
69,0.3,5,0.75
69,0.3,7,0.7083333333333334
70,0.1,3,0.6875
70,0.1,5,0.75
70,0.1,7,0.8125
70,0.2,3,0.75
70,0.2,5,0.78125
70,0.2,7,0.71875
70,0.3,3,0.6041666666666666
70,0.3,5,0.6041666666666666
70,0.3,7,0.5833333333333334
71,0.1,3,0.625
71,0.1,5,0.625
71,0.1,7,0.625
71,0.2,3,0.71875
71,0.2,5,0.625
71,0.2,7,0.71875
71,0.3,3,0.7083333333333334
71,0.3,5,0.6875
71,0.3,7,0.75
